"DeviceName","DriverVersion","DriverDate","DriverProviderName","InfName"
"Plug and Play Software Device Enumerator","10.0.26100.4202","5/23/2025 5:30:00 AM","Microsoft","swenum.inf"
"Programmable interrupt controller","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"RAS Async Adapter","10.0.26100.1","6/21/2006 5:30:00 AM","Microsoft","netrasa.inf"
"Realtek PCIe GbE Family Controller","1168.2.909.2021","9/9/2021 5:30:00 AM","Realtek","oem16.inf"
"Remote Desktop Device Redirector Bus","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","rdpbus.inf"
"System board","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"System CMOS/real time clock","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"System speaker","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"System timer","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"UMBus Root Bus Enumerator","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","umbus.inf"
"Volume Manager","10.0.26100.4768","6/21/2006 5:30:00 AM","Microsoft","volmgr.inf"
"WAN Miniport (IKEv2)","10.0.26100.1","6/21/2006 5:30:00 AM","Microsoft","netavpna.inf"
"WAN Miniport (IP)","10.0.26100.1","6/21/2006 5:30:00 AM","Microsoft","netrasa.inf"
"WAN Miniport (IPv6)","10.0.26100.1","6/21/2006 5:30:00 AM","Microsoft","netrasa.inf"
"WAN Miniport (L2TP)","10.0.26100.1","6/21/2006 5:30:00 AM","Microsoft","netrasa.inf"
"WAN Miniport (Network Monitor)","10.0.26100.1","6/21/2006 5:30:00 AM","Microsoft","netrasa.inf"
"WAN Miniport (PPPOE)","10.0.26100.1","6/21/2006 5:30:00 AM","Microsoft","netrasa.inf"
"WAN Miniport (PPTP)","10.0.26100.1","6/21/2006 5:30:00 AM","Microsoft","netrasa.inf"
"WAN Miniport (SSTP)","10.0.26100.1","6/21/2006 5:30:00 AM","Microsoft","netsstpa.inf"
